sale_id,date_id,product_id,customer_id,quantity,total_amount
5,18651,103475,345891,3,131.25
6,18836,103475,326327,4,157.56
7,18549,103475,353105,5,223.90
8,17535,103478,330535,5,833.50
9,19109,103479,369931,1,127.49
10,18747,103479,387402,5,327.70
11,17865,103479,326143,2,34.64
12,18457,103479,399110,4,601.68
13,18959,103479,343022,2,340.46
14,18187,103480,318644,4,386.40
15,19151,103480,344241,3,281.13
16,18939,103480,399630,1,77.60
17,19023,103481,314714,2,208.66
18,19172,103481,329321,4,32.88
19,17990,103483,368458,1,69.70
20,18190,103483,308447,4,200.12
21,17801,103484,397233,3,521.46
22,17705,103485,359418,2,209.40
23,19025,103485,362860,1,126.90
24,18029,103487,396163,1,116.51
25,18040,103487,346085,5,247.65
26,18461,103487,357163,5,176.35
27,17990,103489,345479,1,110.13
28,17975,103492,392006,5,958.70
29,19185,103492,324711,4,538.20
30,18432,103492,318545,1,135.62
31,19290,103494,379237,4,607.72
32,17894,103494,382894,2,44.10
33,18234,103494,335943,3,517.80
34,18231,103494,370432,2,126.22
35,17624,103496,366673,4,596.92
36,18947,103496,392514,3,339.03
37,18966,103496,378482,3,95.07
38,18029,103496,341381,1,91.52
39,19194,103498,326054,4,699.72
40,17937,103498,362934,3,537.54
41,17660,103499,334737,5,333.75
42,17553,103500,323266,5,450.20
43,18234,103501,311692,5,456.00
44,18331,103502,380255,5,964.20
45,18662,103504,383997,5,103.15
46,18380,103504,321514,5,562.25
47,17820,103505,312225,3,552.87
48,18186,103508,352353,5,67.80
49,19333,103508,395684,5,464.40
50,17818,103509,331635,3,203.01
51,18184,103509,386211,1,149.57
52,18233,103510,355104,5,492.40
53,18623,103510,305333,5,255.75
54,18651,103510,315932,5,621.50
55,18414,103510,401772,1,9.13
56,19123,103513,329333,3,59.43
57,17638,103514,362401,3,78.27
58,19290,103515,334869,3,326.10
59,19198,103515,355966,2,197.68
60,17586,103515,369606,3,584.19
61,18785,103515,349777,2,251.10
62,18287,103516,362986,4,191.24
63,18844,103516,389038,1,161.36
64,18424,103518,403219,5,180.90
65,18144,103518,381155,3,512.34
66,18065,103520,344386,4,518.80
67,18340,103520,309022,2,292.12
68,17651,103520,346969,3,584.61
69,18233,103520,350730,2,354.92
70,19243,103521,340797,1,34.69
71,18231,103521,343169,5,324.20
72,18184,103522,355950,5,840.90
73,19057,103522,310111,1,74.20
74,19022,103523,403323,3,170.04
75,17620,103524,385473,5,812.80
76,18159,103524,346026,2,312.72
77,18013,103525,361467,2,66.56
78,18951,103526,317242,3,104.19
79,17973,103526,319869,5,639.55
80,18354,103526,385384,5,619.10
81,18044,103528,360901,1,162.93
82,18097,103529,404289,5,590.30
83,17559,103529,391622,2,184.56
84,17535,103529,399079,1,170.55
85,18737,103530,366740,3,137.46
86,19017,103530,318402,3,554.01
87,18825,103530,308361,2,187.64
88,18389,103531,338069,4,680.60
89,19110,103531,352656,3,62.73
90,18331,103531,402999,2,48.92
91,17893,103533,364199,1,120.62
92,18649,103534,328919,2,249.54
93,18661,103534,327508,1,42.04
94,17825,103534,390245,3,301.17
95,18959,103535,353550,3,332.07
96,18434,103537,386942,5,25.80
97,18805,103538,362363,1,12.63
98,19060,103538,387148,5,942.45
99,18029,103539,365064,5,156.70
100,18184,103542,392448,2,203.46
101,18159,103543,379551,2,234.64
102,17846,103543,334087,4,238.72
103,17679,103545,376681,5,980.25
104,18826,103545,391166,2,124.78
105,17846,103549,326138,3,502.20
106,18431,103549,392504,4,593.52
107,18279,103550,367306,5,454.40
108,17825,103550,404917,5,305.70
109,18533,103550,341843,5,377.05
110,19069,103551,394414,1,149.01
111,17684,103552,370604,2,124.32
112,18957,103552,371123,5,354.45
113,18789,103553,322974,5,391.80
114,19110,103553,370874,2,17.94
115,18545,103553,334525,3,545.28
116,18771,103553,319128,2,110.80
117,17893,103556,326001,3,536.58
118,18832,103556,337771,5,311.55
119,18657,103557,367716,3,345.15
120,18432,103557,392670,4,590.40
121,19057,103562,353533,1,52.24
122,19013,103562,364894,3,447.09
123,18149,103563,310516,5,59.65
124,18537,103564,376201,2,157.82
125,18537,103564,391872,3,99.24
126,18940,103565,317736,5,485.55
