review_id,date_id,product_id,customer_id,rating,eco_rating
1,18438,103473,383919,1,2
2,17624,103473,397875,4,4
3,17586,103473,324242,5,5
4,19257,103473,378015,3,3
5,19174,103473,359260,2,4
6,18186,103473,346531,4,3
7,18376,103473,309571,5,5
8,18625,103473,394074,4,4
9,18533,103473,369998,5,5
10,18040,103473,329271,3,1
11,18149,103473,366539,3,5
12,17751,103473,356576,5,5
13,19224,103475,400140,4,3
14,18697,103475,320667,3,4
15,18515,103475,398669,4,3
16,19203,103475,319497,2,1
17,18671,103475,326651,5,4
18,18338,103475,312729,4,3
19,19033,103477,355294,4,5
20,18195,103477,363983,4,5
21,17825,103477,322917,5,5
22,17871,103477,377177,5,4
23,18705,103482,307950,4,3
24,18454,103482,322344,4,5
25,18588,103482,367153,5,4
26,18008,103482,358471,4,4
27,17696,103482,370174,5,5
28,17807,103482,334232,5,5
29,18354,103482,357617,5,5
30,17808,103482,377428,3,5
31,19018,103488,368257,3,1
32,17645,103488,323016,5,5
33,18343,103488,318706,4,3
34,19174,103488,324141,5,4
35,18961,103492,318643,5,5
36,18234,103492,378149,5,5
37,17807,103492,371305,1,2
38,18765,103492,372924,5,5
39,18228,103492,380211,5,5
40,19089,103492,393407,5,5
41,19237,103492,395189,4,3
42,18022,103492,389858,1,1
43,19349,103492,329096,4,3
44,18599,103492,326508,4,4
45,17659,103492,379752,5,5
46,17874,103492,333451,4,3
47,18460,103492,316697,3,1
48,18029,103492,318226,4,3
49,18228,103497,364525,5,4
50,17624,103497,338684,3,4
51,18785,103497,338111,4,3
52,18880,103497,393486,3,5
53,18630,103497,380212,3,5
54,18962,103497,315005,5,4
55,19242,103497,322931,5,5
56,19203,103497,386749,2,3
57,18571,103500,323931,4,5
58,18527,103500,316930,2,2
59,19057,103500,351449,5,5
60,17925,103500,351497,5,5
61,18434,103501,401370,5,5
62,18257,103501,325664,4,4
63,18307,103501,377076,4,4
64,17641,103501,404589,5,4
65,18736,103504,319471,4,3
66,19262,103504,336956,4,5
67,18138,103504,376061,4,3
68,18635,103504,361284,4,5
69,18055,103504,349929,4,3
70,18279,103504,314960,2,3
71,18047,103504,389941,3,2
72,17660,103512,378425,4,5
73,18231,103512,363218,2,4
74,18862,103512,352737,5,5
75,18726,103512,317722,4,4
76,18340,103512,323508,4,5
77,19329,103512,400879,4,3
78,19258,103512,307100,3,5
79,18221,103512,334803,5,5
80,18368,103512,403018,1,3
81,19025,103512,388914,5,4
82,19200,103516,375436,5,5
83,18376,103516,352818,3,5
84,17849,103516,316712,4,4
85,17681,103516,392816,5,4
86,17589,103516,362051,4,5
87,19298,103517,322921,5,5
88,18720,103517,319684,5,4
89,18824,103517,388201,5,4
90,18331,103517,309845,4,5
91,18647,103517,305403,3,5
92,17555,103517,357776,5,5
93,19239,103517,336276,5,5
94,17947,103517,329777,4,4
95,18700,103517,344009,4,4
96,18131,103517,360725,5,4
97,18460,103517,344944,5,5
98,19165,103517,325524,4,5
99,19349,103517,366567,4,5
100,17863,103517,404199,5,5
101,18611,103517,323623,2,2
102,18350,103518,368216,5,4
103,18111,103519,316552,3,4
104,18837,103519,350070,4,5
105,17818,103519,349745,5,5
106,17541,103519,361161,4,3
107,18468,103519,387661,2,4
108,18590,103520,340106,4,4
109,17600,103521,386538,3,3
110,17679,103521,340945,5,5
111,18880,103521,346673,5,4
112,19251,103521,351478,4,3
113,18579,103521,306481,4,4
114,17980,103521,367547,4,3
115,18216,103521,393105,3,3
116,18125,103521,399072,4,4
117,18598,103521,383002,4,4
118,18713,103524,351719,2,2
119,19197,103524,362516,4,5
120,18179,103524,331521,4,4
121,18800,103524,307220,4,5
122,19080,103524,335073,3,1
123,18174,103524,383563,4,4
124,18664,103530,336972,5,5
125,18959,103530,313827,4,5
126,17903,103530,393022,4,4
127,18302,103531,326473,5,4
128,17865,103531,385423,3,1
129,18367,103531,317297,4,4
130,17600,103531,317175,3,2
131,17863,103531,318978,5,5
132,17641,103531,347676,5,5
133,18360,103531,361667,3,4
134,17845,103531,315285,5,5
135,18158,103535,319387,4,5
136,18244,103535,397917,2,4
137,18239,103535,353792,5,5
138,18447,103535,356478,3,5
139,17856,103535,311795,5,4
140,18991,103535,393890,4,5
141,18438,103535,341876,4,4
142,18279,103535,366371,3,2
143,18273,103535,361219,3,4
144,17885,103536,362842,4,4
145,17816,103536,342564,3,1
146,17937,103536,400048,4,3
147,18116,103536,374725,2,3
148,17600,103536,369519,4,4
149,17565,103536,385792,5,5
150,17752,103544,340810,5,5
151,18097,103544,389929,4,5
152,17709,103544,341429,4,4
153,17816,103544,383159,4,5
154,18231,103544,398036,4,4
155,17559,103544,396497,3,3
156,17935,103544,366332,2,2
157,19321,103544,395306,4,4
158,18094,103544,350615,5,5
159,18259,103548,400342,3,1
160,17564,103548,343727,5,5
161,17757,103548,331280,5,5
162,19109,103548,377992,3,4
163,18108,103548,354551,5,5
164,19321,103548,318798,5,5
165,19109,103548,343398,5,5
166,17535,103548,396683,5,5
167,19202,103549,390359,5,5
168,17600,103549,341545,4,3
169,17630,103549,367616,4,5
170,18410,103549,346872,3,4
171,19328,103549,375405,5,5
172,19162,103549,345865,4,5
173,17797,103561,390976,2,2
174,18677,103561,385416,3,3
175,19023,103561,327505,5,5
176,18251,103561,368400,5,5
177,18240,103561,382466,4,3
178,17928,103561,402818,4,4
179,17793,103561,315269,3,2
180,17943,103561,335164,5,4
181,18224,103561,375315,5,5
182,18576,103561,336653,5,5
183,18943,103561,382967,4,5
184,18860,103561,398823,3,4
185,18769,103563,371064,4,4
186,18900,103563,380539,5,4
187,19305,103563,352727,5,4
188,19251,103563,357126,3,1
189,18159,103563,354919,4,5
190,17792,103565,370800,5,4
191,19135,103565,308928,3,1
192,17972,103567,355602,3,1
193,18368,103567,379003,4,5
194,18387,103567,334947,5,5
195,17958,103567,372573,4,5
196,18087,103567,360672,4,4
197,18816,103570,360505,5,5
198,19331,103570,363200,5,5
199,18432,103570,373930,5,5
200,19336,103570,343641,3,1
201,19238,103573,329559,5,4
202,18116,103573,346734,3,4
203,19332,103573,309033,5,5
204,17793,103573,340947,3,5
205,18569,103577,385217,4,3
206,19358,103577,401357,4,5
207,18010,103577,324176,3,5
208,18301,103577,342875,5,5
209,17817,103577,338251,4,3
210,18452,103577,384691,1,1
211,17990,103577,328971,5,5
212,18195,103578,361107,2,1
213,19267,103578,389725,5,4
214,17748,103578,354815,4,3
215,17705,103578,384600,5,4
216,19172,103578,400145,4,5
217,18478,103578,339280,5,5
218,17943,103578,350599,5,5
219,17871,103578,348836,5,5
220,18425,103580,324405,5,4
221,18346,103582,369877,5,4
222,18069,103582,402723,3,2
223,17900,103582,354028,2,2
224,18595,103583,375445,5,5
225,18184,103583,323477,4,3
226,18568,103585,393311,3,5
227,17907,103585,362512,3,2
228,17881,103585,367736,2,4
229,19256,103585,319709,5,5
230,18380,103585,365417,4,3
231,19268,103585,401521,5,4
232,17655,103586,399133,4,4
233,18218,103586,346096,4,5
234,17844,103586,368270,3,1
235,18624,103586,371392,5,5
236,17743,103588,380286,4,4
237,19015,103588,320375,4,5
238,17852,103590,368469,5,5
239,17830,103590,363181,4,3
240,19069,103590,348862,4,3
241,18357,103590,385243,2,2
242,17620,103590,326169,4,5
243,18278,103590,354934,5,5
244,17637,103590,359768,5,5
245,17705,103591,345138,4,5
246,17810,103591,336533,5,5
247,17668,103591,371000,5,5
248,18745,103591,397492,2,3
249,18408,103591,365919,3,3
250,18556,103591,388583,4,4
251,17696,103599,373179,5,5
252,19200,103605,328049,5,5
253,17683,103605,317650,1,1
254,17958,103605,361334,4,3
255,17709,103605,374284,1,2
256,18774,103605,315751,4,4
257,18634,103605,400640,5,5
258,19203,103605,370423,5,5
259,18441,103605,370401,3,1
260,19212,103606,397514,5,4
261,18387,103606,332020,4,4
262,18010,103606,315298,4,4
263,18148,103609,384246,4,4
264,19136,103609,348352,5,4
265,18196,103609,384780,3,2
266,18499,103609,380116,4,4
267,18259,103609,329170,4,5
268,19130,103609,325803,4,4
269,17772,103609,309996,3,2
270,18944,103616,326606,4,4
271,17977,103616,308665,3,1
272,18857,103616,402157,1,2
273,17661,103616,368702,4,5
274,18354,103616,339387,4,4
275,18180,103616,369716,3,1
276,18965,103616,366952,4,3
277,18351,103616,354111,4,5
278,18389,103617,344051,1,2
279,17631,103617,337859,5,5
280,18439,103617,401767,4,4
281,18612,103617,378990,4,5
282,19155,103617,398988,5,5
283,19116,103617,332096,4,5
284,19207,103617,393066,4,5
285,17831,103617,317785,3,1
286,17655,103617,328725,5,5
287,18197,103619,318202,3,3
288,19099,103619,343410,3,5
289,18904,103619,315358,4,4
290,17630,103623,370278,5,5
291,18460,103623,384603,4,4
292,19299,103623,371137,3,4
293,19282,103624,378813,4,4
294,18029,103624,347455,5,5
295,17777,103624,399554,4,3
296,17928,103624,370356,4,5
297,18322,103624,369350,3,4
298,19137,103624,323755,1,1
299,18008,103624,398459,3,4
300,18009,103624,402859,5,5
301,19101,103624,348137,1,1
302,17841,103624,338458,5,4
303,18561,103636,384240,5,5
304,18180,103636,365440,5,4
305,18545,103636,388904,5,5
306,19301,103636,382909,1,3
307,18779,103636,327166,3,2
308,18412,103641,347091,2,4
309,19049,103641,313637,2,3
310,19297,103642,339074,5,5
311,18368,103642,368351,5,5
312,18581,103642,320873,4,4
313,19238,103644,365185,4,4
314,18722,103644,383720,2,1
315,18462,103644,340190,4,5
316,17752,103644,377117,4,4
317,18301,103644,339453,4,3
318,19060,103648,353707,5,5
319,18051,103648,325083,4,5
320,17810,103648,313823,5,4
321,18733,103648,331235,3,1
322,19109,103648,326431,5,5
323,18518,103650,327390,3,1
324,18796,103653,359395,4,4
325,18785,103653,336557,4,5
326,17669,103656,306317,4,3
327,18458,103659,400157,5,4
328,18101,103659,387034,4,3
329,18961,103659,331420,1,1
330,18785,103659,388188,4,3
331,19241,103660,349462,4,5
332,18205,103660,345015,4,3
333,19098,103660,382223,4,4
334,19336,103660,358757,4,5
335,18667,103661,366080,5,5
336,17771,103661,368424,4,5
337,18839,103661,367135,4,3
338,19122,103661,384079,5,4
339,19241,103661,385743,4,4
340,18500,103661,342614,4,4
341,18611,103661,402394,4,3
342,18058,103661,323632,5,4
343,17572,103668,395330,4,3
344,18484,103670,353992,1,1
345,17860,103670,310378,5,5
346,17833,103670,307706,4,5
347,19137,103670,334381,3,3
348,18643,103670,368205,4,4
349,18208,103670,313559,5,4
350,18269,103674,319675,5,5
351,19082,103674,373647,5,5
352,17912,103674,354034,4,4
353,17587,103674,379070,4,4
354,18407,103674,384112,4,3
355,18006,103674,404666,5,5
356,18570,103674,377137,1,2
357,18490,103683,326770,4,4
358,18319,103684,327145,4,5
359,18008,103684,374692,5,5
360,18953,103684,320142,3,5
361,18789,103684,398167,4,3
362,19078,103684,338086,3,5
363,18851,103687,387885,1,2
364,19131,103687,359848,4,3
365,19185,103687,315267,4,3
366,17911,103687,399340,5,5
367,18826,103687,347253,3,5
368,17558,103687,382776,5,5
369,18961,103687,369828,5,5
370,18836,103687,385407,3,4
371,18344,103687,396127,5,4
372,18380,103689,388806,3,1
373,18454,103689,317605,5,5
374,18213,103689,334329,4,4
375,18783,103689,313681,5,5
376,17906,103689,368321,5,4
377,17995,103689,366273,3,4
378,19305,103689,332430,4,4
379,18796,103689,379932,4,3
380,18498,103689,357792,1,1
381,18906,103689,334300,4,5
382,18888,103689,402429,5,4
383,19038,103689,365822,1,1
384,19173,103689,386333,3,3
385,18398,103690,360920,5,4
386,18625,103690,385650,5,4
387,17770,103690,380561,1,1
388,17943,103690,366924,4,4
389,18230,103690,381216,5,5
390,19287,103690,335220,4,5
391,18496,103690,314094,4,5
392,18857,103690,382195,5,4
393,17854,103692,356739,2,2
394,18257,103693,353558,4,5
395,18330,103693,396754,3,1
396,18571,103693,380191,4,4
397,19182,103693,399543,5,5
398,18307,103695,376515,4,4
399,17885,103695,366757,5,5
